Respondent ID,Response1a,Response1b,Response1c,Response2a,Response2b,Response2c,Response3a,Response3b,Response3c,Response4a,Response4b,Response4c,Response5a,Response5b,Response5c,Response6a,Response6b,Response6c,Response7a,Response7b,Response7c,Score,Classification
12648671897,4,4-6,completely,3,0-3,completely,2,0-3,partially,2,6-9,completely,4,4-6,partially,2,4-6,completely,4,4-6,partially,9,3
12648671869,4,6-9,partially,3,0-3,completely,3,0-3,partially,1,0-3,completely,2,0-3,completely,5,4-6,not at all,2,0-3,completely,9,3
12648671579,2,0-3,partially,3,0-3,partially,4,4-6,completely,3,0-3,partially,4,4-6,partially,3,0-3,partially,4,4-6,partially,8,3
12648671291,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,1,1
12648671258,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,4-6,completely,3,4-6,partially,3,6-9,completely,6,2
12648671156,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,0-3,completely,3,4-6,partially,3,4-6,partially,6,2
12648670529,3,4-6,partially,3,0-3,partially,1,0-3,completely,1,4-6,completely,2,4-6,completely,2,4-6,partially,2,6-9,completely,10,4
12648670474,2,10 or more,not at all,3,4-6,completely,2,6-9,partially,3,6-9,not at all,4,0-3,not at all,1,6-9,not at all,5,4-6,completely,9,3
12648670023,1,6-9,partially,3,6-9,not at all,4,6-9,not at all,4,10 or more,partially,3,4-6,completely,4,10 or more,completely,3,4-6,not at all,7,3
12648669630,3,4-6,not at all,3,4-6,partially,3,4-6,partially,3,6-9,partially,2,4-6,partially,3,4-6,partially,3,4-6,partially,7,3
12648669601,3,4-6,partially,1,6-9,partially,4,4-6,partially,4,6-9,completely,4,4-6,partially,4,0-3,partially,3,4-6,not at all,4,2
12648669430,3,6-9,not at all,2,4-6,not at all,4,6-9,partially,4,6-9,partially,3,6-9,partially,3,6-9,not at all,4,6-9,not at all,2,1
12648668880,2,4-6,partially,2,4-6,partially,3,4-6,partially,2,4-6,partially,3,4-6,partially,2,4-6,partially,2,6-9,partially,5,2
12648668576,4,6-9,not at all,2,6-9,partially,2,6-9,partially,3,6-9,partially,5,10 or more,completely,1,6-9,completely,3,4-6,completely,6,2
12648666425,4,4-6,partially,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,11,4
12648664999,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12648657558,3,4-6,not at all,2,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,not at all,1,0-3,partially,10,4
12648641089,3,0-3,partially,3,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,completely,8,3
12648598556,3,4-6,partially,3,6-9,not at all,4,4-6,completely,1,6-9,completely,1,6-9,partially,1,0-3,not at all,1,6-9,partially,9,3
12648563316,3,6-9,completely,3,4-6,partially,3,6-9,partially,3,4-6,completely,3,6-9,completely,3,4-6,partially,3,6-9,partially,6,2
12648558089,3,4-6,partially,3,0-3,partially,5,0-3,completely,4,0-3,completely,3,0-3,completely,5,0-3,partially,5,0-3,completely,5,2
12648552589,3,0-3,partially,2,0-3,partially,1,0-3,completely,3,0-3,partially,3,0-3,partially,3,4-6,partially,2,0-3,completely,7,3
12648547261,4,0-3,partially,2,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,5,10 or more,not at all,5,0-3,completely,9,3
12648544239,3,0-3,partially,1,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,10,4
12648539654,3,0-3,partially,2,0-3,completely,2,0-3,completely,3,0-3,partially,1,0-3,completely,4,0-3,partially,1,0-3,completely,9,3
12648538161,3,4-6,partially,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,partially,7,3
12648535723,4,0-3,partially,3,0-3,completely,3,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,partially,3,0-3,completely,7,3
12648535211,3,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,completely,2,0-3,completely,3,4-6,partially,1,0-3,completely,11,4
12648534710,3,0-3,completely,3,0-3,completely,2,0-3,completely,2,0-3,partially,2,0-3,completely,4,0-3,completely,2,0-3,completely,8,3
12648534657,3,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,4,0-3,partially,1,0-3,completely,10,4
12648534499,3,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12648534455,4,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,11,4
12648533570,3,6-9,partially,5,10 or more,completely,1,6-9,partially,5,6-9,completely,5,6-9,completely,4,10 or more,completely,5,6-9,partially,2,1
12648533098,4,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,3,0-3,partially,1,0-3,completely,10,4
12648533034,4,0-3,partially,2,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,13,5
12648532765,4,10 or more,partially,2,6-9,completely,2,4-6,completely,4,10 or more,partially,1,0-3,completely,1,0-3,completely,4,6-9,partially,11,4
